Summary,Description,Issue Type,Priority,Labels,Epic,Готовность
Проект: начальная настройка,"Репозиторий, структура папок, .gitignore, README",Task,High,kickoff,Этап 0,Готово
Инфраструктура: Docker,"Docker Compose для бэкенда, PostgreSQL, Redis (опц)",Task,High,kickoff,Этап 0,Готово
Инфраструктура: CI/CD,"GitHub Actions / GitLab CI для тестов и деплоя",Task,Medium,kickoff,Этап 0,Не готово
Бэкенд: FastAPI приложение,"main.py, config, CORS, подключение к БД",Task,High,foundation,Этап 1,Готово
Бэкенд: модели User City Tariff,"Модели User, City, ApartmentType, Tariff, TariffPrice",Task,High,foundation,Этап 1,Готово
Бэкенд: миграции Alembic,"Настройка Alembic, первая миграция",Task,High,foundation,Этап 1,Готово
Бэкенд: seed справочников,"Сиды: города (Алматы), тарифы, типы квартир, цены",Task,High,foundation,Этап 1,Готово
Бэкенд: API auth,"POST register, login, refresh, confirm-email, forgot-password, reset-password",Task,High,foundation,Этап 1,Готово
Бэкенд: API cities и tariffs,"GET /cities, GET /tariffs с ценами по типам квартир",Task,High,foundation,Этап 1,Готово
Фронтенд: Vite + React + TS,"Инициализация, Tailwind, React Router",Task,High,foundation,Этап 1,Готово
Фронтенд: лендинг главная,"Главная страница: описание сервиса, CTA",Task,High,foundation,Этап 1,Готово
Фронтенд: страница тарифов,"Список тарифов, цены по типам квартир, кнопка «Начать»",Task,High,foundation,Этап 1,Готово
Фронтенд: регистрация и вход,"Страницы /register, /login с формами",Task,High,foundation,Этап 1,Готово
Фронтенд: подтверждение email,"Страница подтверждения по коду/ссылке",Task,High,foundation,Этап 1,Готово
Бэкенд: модель Subscription,"Модель Subscription, связи с User, Tariff, City, ApartmentType",Task,High,subscription,Этап 2,Готово
Бэкенд: модель Visit Checklist,"Модели Visit, Checklist, VisitPhoto и связи",Task,High,subscription,Этап 2,Готово
Бэкенд: API подписок,"POST/GET subscriptions, PATCH subscription, создание визитов при активации",Task,High,subscription,Этап 2,Готово
Бэкенд: API визитов клиента,"GET visits, GET visit/:id, POST reschedule",Task,High,subscription,Этап 2,Готово
Бэкенд: симуляция платежей,"POST create-intent, simulate-card, submit-card, confirm (тестовый режим)",Task,High,subscription,Этап 2,Готово
Бэкенд: webhook платежа,"POST /webhooks/payment для подтверждения оплаты",Task,High,subscription,Этап 2,Готово
Фронтенд: страница бронирования,"Оформление подписки: тариф, тип квартиры, адрес, дни, время",Task,High,subscription,Этап 2,Готово
Фронтенд: страница оплаты,"Форма карты (симуляция), ввод кода подтверждения, переход в кабинет",Task,High,subscription,Этап 2,Готово
Фронтенд: клиентский дашборд,"Дашборд: тариф, следующее списание, ближайший визит",Task,High,subscription,Этап 2,Готово
Фронтенд: список визитов клиента,"Страница /dashboard/visits, карточки визитов, статусы",Task,High,subscription,Этап 2,Готово
Фронтенд: детали визита клиента,"Страница визита, фото-отчёт и чеклист; перенос визита — в разделе слотов",Task,Medium,subscription,Этап 2,Готово
Фронтенд: настройки слотов и подписки,"Редактирование предпочтительных дней и времени, подписка",Task,Medium,subscription,Этап 2,Готово
Бэкенд: API исполнителя визиты,"GET executor/visits, GET executor/visits/:id с чек-листом",Task,High,executor,Этап 3,Готово
Бэкенд: API начало и завершение визита,"POST start, POST complete, POST upload-photo, POST no-show",Task,High,executor,Этап 3,Готово
Бэкенд: хранение фото,"Локальное хранилище или S3 для фото визитов",Task,High,executor,Этап 3,Готово
Фронтенд: кабинет исполнителя,"Дашборд, список визитов на день/неделю",Task,High,executor,Этап 3,Готово
Фронтенд: детали визита исполнителя,"Детали визита, чек-лист, кнопки «Начать» / «Завершить»",Task,High,executor,Этап 3,Готово
Фронтенд: загрузка фото по чек-листу,"Отметка пунктов, загрузка фото к пунктам, завершение визита",Task,High,executor,Этап 3,Готово
Фронтенд: просмотр фото-отчёта клиентом,"Галерея фото по пунктам чек-листа в карточке визита",Task,High,executor,Этап 3,Готово
Бэкенд: правило переноса 24ч,"Проверка 24 ч до визита, лимит переносов в месяц",Task,Medium,executor,Этап 3,Не готово
Админ: дашборд,"Сводка: активные подписки, визиты за день/неделю, доход, тикеты",Story,High,admin,Этап 4,Готово
Админ: управление клиентами,"Список клиентов, поиск, карточка: профиль, подписка, визиты, платежи",Story,High,admin,Этап 4,Готово
Админ: управление подписками,"Список подписок, смена статуса, назначение исполнителя, создание вручную",Story,High,admin,Этап 4,Готово
Админ: управление визитами,"Список с фильтрами по датам (без календаря), назначение исполнителя, перенос, отмена",Story,High,admin,Этап 4,Готово
Админ: управление исполнителями,"Список исполнителей, приглашение (код/ссылка), зоны, статус (активен/заблокирован)",Story,High,admin,Этап 4,Готово
Админ: тарифы и цены,"CRUD тарифов, сетка цен (тариф × тип квартиры), чек-листы",Story,High,admin,Этап 4,Не готово
Админ: справочники,"Города, типы квартир, пункты чек-листов",Story,Medium,admin,Этап 4,Не готово
